date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-09-24,25.81,Other,Other,Computer skin trade.,Vasquez-Horne,expense,9
2024-09-25,25.24258261910293,Shopping,Home Goods,Retail shopping,Macys,expense,9
2024-09-26,21.89,Transportation,Parking,Car payment,Chevron,expense,9
2024-09-26,28.41,ATM Fee,ATM Fee,Series physical wall his.,"Mcneil, Thomas and Dalton",expense,9
2024-09-27,13.41,Entertainment,Sports,Movie tickets,AMC Theaters,expense,9
2024-09-28,176.56,Healthcare,Doctor Visit,Doctor visit,Kaiser Permanente,expense,9
2024-09-30,1354.63,Housing,Rent,Property maintenance,Bank of America,expense,9
2024-09-30,33.17,Food & Dining,Groceries,Grocery shopping,Chipotle,expense,9
2024-09-30,20.77,Entertainment,Movies,Concert,AMC Theaters,expense,9
2024-10-01,3226.7,Salary,Salary,Monthly salary payment,Finance Inc,income,9
2024-10-04,12.78,Shopping,Books,Online purchase,Target,expense,9
2024-10-04,49.13,Bank Fee,Bank Fee,Include actually now.,King PLC,expense,9
2024-10-05,7.98,Bank Fee,Bank Fee,Only budget simply.,"Williams, Mcpherson and Chapman",expense,9
2024-10-06,33.29,Food & Dining,Groceries,Lunch,McDonalds,expense,9
2024-10-06,16.27,Transportation,Uber/Lyft,Parking fee,Chevron,expense,9
2024-10-08,1282.42,Housing,Mortgage,Mortgage payment,Property Manager,expense,9
2024-10-08,16.28,Entertainment,Sports,Subscription,PlayStation Store,expense,9
2024-10-08,115.03,Healthcare,Doctor Visit,Insurance,Kaiser Permanente,expense,9
2024-10-11,22.5,Transportation,Uber/Lyft,Parking fee,Metro,expense,9
2024-10-11,142.51,Utilities,Electric,Phone bill,PG&E,expense,9
2024-10-13,29.29,Transportation,Gas,Gas fill-up,Uber,expense,9
2024-10-15,3414.4,Salary,Salary,Monthly salary payment,Healthcare LLC,income,9
2024-10-15,38.35,Transportation,Uber/Lyft,Parking fee,Lyft,expense,9
2024-10-15,20.97,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,9
2024-10-17,27.38,Shopping,Personal Care,Retail shopping,Walgreens,expense,9
2024-10-17,6.93,Other,Other,Front down design tough.,"Miller, Salazar and Patel",expense,9
2024-10-18,10.24,Food & Dining,Coffee,Lunch,Chipotle,expense,9
2024-10-20,29.7,Shopping,Clothing,Personal items,CVS,expense,9
2024-10-20,179.67,Healthcare,Pharmacy,Insurance,Kaiser Permanente,expense,9
2024-10-21,55.96,Transportation,Uber/Lyft,Car payment,Chevron,expense,9
2024-10-24,20.58,Food & Dining,Delivery,Lunch,Uber Eats,expense,9
2024-10-24,11.88,Entertainment,Sports,Subscription,PlayStation Store,expense,9
2024-10-24,35.04,Bank Fee,Bank Fee,Claim wonder.,"Rhodes, Smith and Kelly",expense,9
2024-10-25,14.28,Food & Dining,Fast Food,Dinner,DoorDash,expense,9
2024-10-25,14.8,Shopping,Clothing,Retail shopping,CVS,expense,9
2024-10-26,124.34,Healthcare,Pharmacy,Prescription,Kaiser Permanente,expense,9
2024-10-27,46.23,Food & Dining,Coffee,Lunch,Starbucks,expense,9
2024-10-27,32.53,ATM Fee,ATM Fee,Authority show green heavy trouble.,Cervantes-Singleton,expense,9
2024-10-28,14.77,Bank Fee,Bank Fee,Modern air.,Wilson and Sons,expense,9
2024-10-29,225.38,Utilities,Electric,Electric bill,Verizon,expense,9
2024-10-30,39.52,Food & Dining,Delivery,Dinner,DoorDash,expense,9
2024-11-01,3270.64,Salary,Salary,Monthly salary payment,Healthcare LLC,income,9
2024-11-06,1349.58,Housing,HOA Fees,Mortgage payment,Home Depot,expense,9
2024-11-06,42.78,Transportation,Car Payment,Car payment,Shell,expense,9
2024-11-09,5.04,Other,Other,Central stock reduce become.,Perez-Duncan,expense,9
2024-11-10,21.44,Entertainment,Gaming,Concert,AMC Theaters,expense,9
2024-11-11,52.32,Transportation,Parking,Gas fill-up,Lyft,expense,9
2024-11-11,50.97712629533609,Shopping,Home Goods,Personal items,Macys,expense,9
2024-11-11,25.26362596904847,Shopping,Home Goods,Online purchase,CVS,expense,9
2024-11-12,55.745034386659526,Food & Dining,Delivery,Coffee,Starbucks,expense,9
2024-11-12,49.56301585606402,Food & Dining,Coffee,Grocery shopping,McDonalds,expense,9
2024-11-12,64.26,Transportation,Gas,Parking fee,Lyft,expense,9
2024-11-14,11.91,Entertainment,Music,Movie tickets,Spotify,expense,9
2024-11-15,3381.78,Salary,Salary,Monthly salary payment,Tech Corp,income,9
2024-11-15,1315.19,Housing,Maintenance,Rent payment,Landlord,expense,9
2024-11-15,44.55,Transportation,Gas,Parking fee,Chevron,expense,9
2024-11-15,161.09,Healthcare,Pharmacy,Doctor visit,Kaiser Permanente,expense,9
2024-11-16,196.21,Utilities,Electric,Internet bill,AT&T,expense,9
2024-11-16,7.9,Entertainment,Sports,Concert,Spotify,expense,9
2024-11-16,4.53,Entertainment,Gaming,Movie tickets,Steam,expense,9
2024-11-16,17.75,ATM Fee,ATM Fee,Green reach.,Miles-Scott,expense,9
2024-11-17,31.56,ATM Fee,ATM Fee,Too begin require or.,"Flores, Koch and Rivera",expense,9
2024-11-17,48.47,Subscription,Subscription,Baby woman popular.,Garcia-Doyle,expense,9
2024-11-18,121.23,Utilities,Phone,Internet bill,Comcast,expense,9
2024-11-18,25.77,Subscription,Subscription,Event likely bag he.,Wright-Berry,expense,9
2024-11-21,11.239676764459757,Food & Dining,Restaurants,Coffee,McDonalds,expense,9
2024-11-22,23.15,Transportation,Uber/Lyft,Parking fee,Honda Finance,expense,9
2024-11-22,35.19397821888715,Shopping,Books,Personal items,Amazon,expense,9
2024-11-22,30.83,ATM Fee,ATM Fee,Share today.,"Lewis, Walker and Nelson",expense,9
2024-11-23,21.15,Transportation,Gas,Car payment,Metro,expense,9
2024-11-24,407.10221097828395,Travel,Flights,Flight booking,Marriott,expense,9
2024-11-25,37.565514421452406,Food & Dining,Coffee,Dinner,DoorDash,expense,9
2024-11-25,160.77,Utilities,Water,Internet bill,Comcast,expense,9
2024-11-26,26.49,ATM Fee,ATM Fee,Player short fish short region.,Smith-Bradshaw,expense,9
2024-11-27,26.83340668388997,Shopping,Clothing,Personal items,Best Buy,expense,9
2024-11-28,42.5,Bank Fee,Bank Fee,Hot write trade.,"Yang, Gallagher and Collins",expense,9
2024-11-29,16.65,Bank Fee,Bank Fee,Positive draw role read message.,Miller Inc,expense,9
2024-11-30,13.1,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,9
2024-12-01,3385.4,Salary,Salary,Monthly salary payment,Finance Inc,income,9
2024-12-01,1606.02,Freelance,Freelance,Freelance project payment,Client B,income,9
2024-12-01,46.27,Other,Other,Professor both like technology.,"Sandoval, Christian and Carpenter",expense,9
2024-12-02,61.39,Transportation,Public Transit,Gas fill-up,Shell,expense,9
2024-12-02,200.77,Utilities,Electric,Electric bill,Verizon,expense,9
2024-12-03,13.12,Subscription,Subscription,Well nice record level clearly.,"Edwards, Johnston and Smith",expense,9
2024-12-04,41.029473871347555,Food & Dining,Coffee,Coffee,Chipotle,expense,9
2024-12-04,13.85,Transportation,Parking,Gas fill-up,Honda Finance,expense,9
2024-12-04,48.18,Bank Fee,Bank Fee,Sell science yard.,Payne LLC,expense,9
2024-12-05,19.0,ATM Fee,ATM Fee,Share much require issue.,Nunez Group,expense,9
2024-12-06,1299.13,Housing,Property Tax,Mortgage payment,Property Manager,expense,9
2024-12-07,23.65674851210548,Food & Dining,Fast Food,Coffee,Uber Eats,expense,9
2024-12-07,26.87,Transportation,Car Payment,Car payment,Honda Finance,expense,9
2024-12-07,19.000833816337874,Shopping,Personal Care,Retail shopping,CVS,expense,9
2024-12-08,32.21,ATM Fee,ATM Fee,Administration benefit.,Patterson PLC,expense,9
2024-12-09,22.59,Subscription,Subscription,Civil parent seem cultural every.,Brown Inc,expense,9
2024-12-10,30.01400635662661,Shopping,Clothing,Personal items,Macys,expense,9
2024-12-12,1301.92,Housing,Property Tax,Property maintenance,Property Manager,expense,9
2024-12-12,42.249960762725216,Shopping,Electronics,Retail shopping,Target,expense,9
2024-12-12,14.09,Bank Fee,Bank Fee,Development feel set.,"Richardson, Foster and Stone",expense,9
2024-12-13,7.53,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,9
2024-12-13,34.08,Bank Fee,Bank Fee,He stuff simply common.,"Hall, Li and Robertson",expense,9
2024-12-13,31.7,ATM Fee,ATM Fee,Money company.,"Thompson, Michael and Weiss",expense,9
2024-12-15,3277.37,Salary,Salary,Monthly salary payment,Tech Corp,income,9
2024-12-15,1310.69,Freelance,Freelance,Freelance project payment,Client B,income,9
2024-12-15,14.3,Subscription,Subscription,Election sign space dark.,Stephens Group,expense,9
2024-12-16,38.40475375524743,Food & Dining,Groceries,Lunch,Chipotle,expense,9
2024-12-17,24.44,Other,Other,Within hot pay increase.,Santiago Ltd,expense,9
2024-12-18,11.29,Entertainment,Sports,Movie tickets,Spotify,expense,9
2024-12-19,6.91,Entertainment,Streaming,Subscription,Netflix,expense,9
2024-12-20,130.61,Utilities,Internet,Phone bill,Comcast,expense,9
2024-12-20,17.759069021093705,Shopping,Home Goods,Retail shopping,Walgreens,expense,9
2024-12-21,31.37,ATM Fee,ATM Fee,Total shake whose address fight.,Lane Group,expense,9
2024-12-22,18.504496829465435,Shopping,Personal Care,Retail shopping,Amazon,expense,9
2024-12-22,25.22,ATM Fee,ATM Fee,Country check main movement.,Jones and Sons,expense,9
2024-12-24,58.66087940228941,Shopping,Home Goods,Online purchase,Walgreens,expense,9
2024-12-25,225.41376315628,Travel,Vacation,Vacation expense,Southwest Airlines,expense,9
2024-12-26,13.535083349375773,Food & Dining,Fast Food,Dinner,McDonalds,expense,9
2024-12-28,1312.56,Housing,HOA Fees,Mortgage payment,Home Depot,expense,9
2024-12-29,51.53,Transportation,Gas,Gas fill-up,Honda Finance,expense,9
2024-12-29,127.24,Healthcare,Dental,Prescription,Dental Associates,expense,9
2024-12-30,15.39,Entertainment,Sports,Movie tickets,AMC Theaters,expense,9
2024-12-30,16.97,Entertainment,Streaming,Concert,Steam,expense,9
2024-12-30,30.8,Bank Fee,Bank Fee,Ask growth student with.,Davis-Turner,expense,9
2024-12-31,11.09,Bank Fee,Bank Fee,Too store quickly read.,Molina Inc,expense,9
